"time","local_time","player_name","xcoord","ycoord","speed","direction","acceleration","distance","team"
"1549047282000","2019-02-01 19:54:42","Christopher Rudeck","30.976","9.831","0.004",NULL,"0.005","61.47",0
"1549047282000","2019-02-01 19:54:42","Patrick Wiencek","7.923","8.278","1.113","-130.999","0","1737.618",0
"1549047282000","2019-02-01 19:54:42","Patrick Groetzki","-0.43","20.057","0.034",NULL,"0.004","3168.292",0
"1549047282000","2019-02-01 19:54:42","Fabian Wiede","10.024","18.058","2.832","77.936","-1.185","1078.55",0
"1549047282000","2019-02-01 19:54:42","Tim Suton ","0.454","0.107","0.372",NULL,"0.09","1380.96",0
"1549047282000","2019-02-01 19:54:42","Paul Drux","9.907","0.88","1.366","155.623","1.565","2231.194",0
"1549047282000","2019-02-01 19:54:42","Franz Semper","10.983","7.96","3.1","-171.238","-0.491","96.659",0
"1549047282000","2019-02-01 19:54:42"," Ball 4","10.727","7.069","12.83","-106.866","43.849","7418.855",2
"1549047282000","2019-02-01 19:54:42","Jannik Kohlbacher",NULL,NULL,NULL,NULL,NULL,"1498.461",0
"1549047282000","2019-02-01 19:54:42","Andy Schmid","7.519","14.123","0.314","-32.641","-0.286","1028.762",1
"1549047282000","2019-02-01 19:54:42","Hampus Wanne","4.82","16.768","0",NULL,"0","1061.993",1
"1549047282000","2019-02-01 19:54:42","Marius Steinhauser","10.883","-0.061","0.03",NULL,"0.016","1165.916",1
"1549047282000","2019-02-01 19:54:42","Robert Weber","3.956","3.37","0.237","36.706","-0.029","1228.439",1
"1549047282000","2019-02-01 19:54:42","Holger Glandorf","6.763","4.973","0.246","-121.105","0.536","981.042",1
"1549047282000","2019-02-01 19:54:42","Dalibor Doder","8.45","-0.35","0",NULL,"0","1105.51",1
"1549047282000","2019-02-01 19:54:42","Bjarki Mar Elisson","9.383","-0.212","0.579",NULL,"-0.164","958.962",1
"1549047282000","2019-02-01 19:54:42","Moritz Preuss","11.443","-0.187","0",NULL,"0","878.654",1
"1549047282000","2019-02-01 19:54:42","Benjamin Buric","-0.037","9.596","0.342","-83.228","0.072","522.128",1
"1549047282000","2019-02-01 19:54:42","Mikael  Appelgren ","7.67","0.14","0",NULL,"0","843.836",1
"1549047282000","2019-02-01 19:54:42","Fabian van Olphen","8.343","8.953","1.084","-149.43","0.043","931.926",1
