"time","local_time","player_name","xcoord","ycoord","speed","direction","acceleration","distance","team"
"1549044447000","2019-02-01 19:07:27","Jeljko Musa","16.013","9.244","3.876","-175.965","0.488","128.907",1
"1549044447000","2019-02-01 19:07:27"," Ball 4","18.821","11.187","15.532","113.021","65.813","513.73",2
"1549044447000","2019-02-01 19:07:27","Paul Drux","10.325","13.014","2.505","171.882","-1.094","203.133",0
"1549044447000","2019-02-01 19:07:27","Andy Schmid","18.877","10.3","3.526","152.426","-0.327","160.296",1
"1549044447000","2019-02-01 19:07:27","Hampus Wanne","14.29","0.703","5.381","-179.122","0.088","113.826",1
"1549044447000","2019-02-01 19:07:27","Holger Glandorf","17.553","19.068","3.763","173.474","-0.129","155.875",1
"1549044447000","2019-02-01 19:07:27","Robert Weber","14.529","19.597","5.241","-179.472","-0.076","163.372",1
"1549044447000","2019-02-01 19:07:27","Fabian van Olphen","19.729","0.983","3.969","-171.795","-0.128","148.19",1
"1549044447000","2019-02-01 19:07:27","Mikael  Appelgren ","36.132","9.419","1.429","-172.5","0.048","47.145",1
"1549044447000","2019-02-01 19:07:27","Patrick Wiencek","13.949","10.96","4.944","-162.046","-0.768","171.632",0
"1549044447000","2019-02-01 19:07:27","Fabian Wiede","8.471","6.24","1.949","-174.346","-2.095","188.775",0
"1549044447000","2019-02-01 19:07:27","Silvio Heinevetter","-0.904","9.933","0.382","44.957","0.054","62.354",0
"1549044447000","2019-02-01 19:07:27","Matthias Musche","13.023","18.165","3.771","179.226","-0.137","173.746",0
"1549044447000","2019-02-01 19:07:27","Patrick Groetzki","9.896","2.977","2.815","166.578","-0.824","173.882",0
"1549044447000","2019-02-01 19:07:27","Finn Lemke","10.184","10.673","3.112","-176.461","-1.247","96.222",0
"1549044447050","2019-02-01 19:07:27.05","Andy Schmid","18.72","10.39","3.525","152.298","-0.373","160.296",1
"1549044447050","2019-02-01 19:07:27.05","Hampus Wanne","14.012","0.703","5.384","-179.314","0.04","113.826",1
"1549044447050","2019-02-01 19:07:27.05","Paul Drux","10.202","13.045","2.451","170.327","-1.079","203.133",0
"1549044447050","2019-02-01 19:07:27.05","Matthias Musche","12.838","18.168","3.769","179.077","-0.134","173.746",0
"1549044447050","2019-02-01 19:07:27.05","Silvio Heinevetter","-0.904","9.937","0.382","41.962","0.125","62.354",0
"1549044447050","2019-02-01 19:07:27.05","Fabian Wiede","8.402","6.218","1.837","-174.346","-2.045","188.775",0
"1549044447050","2019-02-01 19:07:27.05","Patrick Wiencek","13.719","10.871","4.911","-161.963","-0.847","171.632",0
"1549044447050","2019-02-01 19:07:27.05","Patrick Groetzki","9.773","3.006","2.776","166.201","-0.771","173.882",0
"1549044447050","2019-02-01 19:07:27.05","Finn Lemke","10.029","10.675","3.054","-176.601","-1.277","96.222",0
"1549044447050","2019-02-01 19:07:27.05","Jeljko Musa","15.807","9.232","3.92","-176.593","0.445","128.907",1
"1549044447050","2019-02-01 19:07:27.05","Holger Glandorf","17.364","19.082","3.746","173.853","-0.171","155.875",1
"1549044447050","2019-02-01 19:07:27.05","Robert Weber","14.271","19.592","5.241","-179.568","-0.081","163.372",1
"1549044447050","2019-02-01 19:07:27.05","Fabian van Olphen","19.533","0.951","3.965","-172.36","-0.146","148.19",1
"1549044447050","2019-02-01 19:07:27.05","Mikael  Appelgren ","36.062","9.41","1.431","-172.5","0.046","47.145",1
"1549044447050","2019-02-01 19:07:27.05"," Ball 4","18.458","11.988","17.88","115.677","12.47","513.73",2
"1549044447100","2019-02-01 19:07:27.1","Patrick Wiencek","13.489","10.782","4.881","-161.577","-0.926","171.632",0
"1549044447100","2019-02-01 19:07:27.1","Finn Lemke","9.875","10.676","2.968","-177.033","-1.307","96.222",0
"1549044447100","2019-02-01 19:07:27.1","Matthias Musche","12.65","18.17","3.768","178.928","-0.131","173.746",0
"1549044447100","2019-02-01 19:07:27.1","Patrick Groetzki","9.65","3.036","2.739","165.63","-0.719","173.882",0
"1549044447100","2019-02-01 19:07:27.1","Paul Drux","10.078","13.076","2.406","168.721","-1.063","203.133",0
"1549044447100","2019-02-01 19:07:27.1","Fabian Wiede","8.334","6.197","1.717","-174.346","-1.995","188.775",0
"1549044447100","2019-02-01 19:07:27.1","Silvio Heinevetter","-0.903","9.941","0.403","39.527","0.196","62.354",0
"1549044447100","2019-02-01 19:07:27.1"," Ball 4","18.034","12.806","16.737","116.525","-32.862","513.73",2
"1549044447100","2019-02-01 19:07:27.1","Robert Weber","14.013","19.587","5.241","-179.572","-0.087","163.372",1
"1549044447100","2019-02-01 19:07:27.1","Fabian van Olphen","19.338","0.919","3.96","-172.587","-0.164","148.19",1
"1549044447100","2019-02-01 19:07:27.1","Mikael  Appelgren ","35.992","9.401","1.433","-172.5","0.043","47.145",1
"1549044447100","2019-02-01 19:07:27.1","Hampus Wanne","13.733","0.703","5.385","-179.408","-0.007","113.826",1
