"time","local_time","player_name","xcoord","ycoord","speed","direction","acceleration","distance","team"
"1549044432000","2019-02-01 19:07:12"," Ball 4","27.56","11.717","3.764","78.955","0.396","453.213",2
"1549044432000","2019-02-01 19:07:12","Hampus Wanne","34.689","3.468","0.594",NULL,"-0.343","91.197",1
"1549044432000","2019-02-01 19:07:12","Holger Glandorf","34.099","14.238","0.525","55.431","0.403","132.618",1
"1549044432000","2019-02-01 19:07:12","Robert Weber","33.114","17.072","2.081","156.158","-0.441","137.413",1
"1549044432000","2019-02-01 19:07:12","Fabian van Olphen","32.152","9.277","0.938","111.53","0.698","124.168",1
"1549044432000","2019-02-01 19:07:12","Mikael  Appelgren ","39.442","9.996","0.352",NULL,"-0.14","40.193",1
"1549044432000","2019-02-01 19:07:12","Silvio Heinevetter","11.314","12.142","1.065","-89.413","-0.336","47.74",0
"1549044432000","2019-02-01 19:07:12","Andy Schmid","32.592","5.725","0.947","109.72","-0.484","139.469",1
"1549044432000","2019-02-01 19:07:12","Paul Drux","27.394","10.564","2.656","64.463","0.331","162.272",0
"1549044432000","2019-02-01 19:07:12","Patrick Wiencek","33.196","9.895","0.794","137.595","0.258","141.816",0
"1549044432000","2019-02-01 19:07:12","Jeljko Musa","32.395","11.101","0.903","65.196","0.689","105.577",1
"1549044432000","2019-02-01 19:07:12","Fabian Wiede","30.809","0.871","1.611","-65.922","-1.06","152.162",0
"1549044432000","2019-02-01 19:07:12","Matthias Musche","29.048","19.659","3.379","0.185","-2.228","144.776",0
"1549044432000","2019-02-01 19:07:12","Jannik Kohlbacher","10.914","-0.025","0.15",NULL,"0.105","0",0
"1549044432000","2019-02-01 19:07:12","Finn Lemke","35.256","15.661","0.45","27.397","-0.688","66.841",0
"1549044432000","2019-02-01 19:07:12","Patrick Groetzki","36.051","0.095","2.214","2.688","0.431","140.263",0
"1549044432050","2019-02-01 19:07:12.05","Jeljko Musa","32.414","11.148","0.975","62.571","0.689","105.577",1
"1549044432050","2019-02-01 19:07:12.05"," Ball 4","27.643","11.895","4.086","77.666","-1.919","453.213",2
"1549044432050","2019-02-01 19:07:12.05","Paul Drux","27.444","10.705","2.68","68.261","0.331","162.272",0
