"time","local_time","player_name","xcoord","ycoord","speed","direction","acceleration","distance","team"
"1549044375000","2019-02-01 19:06:15","Christopher Rudeck","9.891","-0.073","0",NULL,"0","0",0
"1549044375000","2019-02-01 19:06:15","Patrick Groetzki","40.645","-0.09","0.278",NULL,"-0.398","51.529",0
"1549044375000","2019-02-01 19:06:15","Patrick Wiencek","34.274","16.884","0.564","140.079","-0.39","44.314",0
"1549044375000","2019-02-01 19:06:15","Fabian Wiede","29.385","0.558","0.839","-117.295","-0.17","66.093",0
"1549044375000","2019-02-01 19:06:15","Fabian Böhm","30.293","19.709","0.475","-105.231","-0.483","72.365",0
"1549044375000","2019-02-01 19:06:15","Silvio Heinevetter","8.194","10.112","0.074",NULL,"-0.076","14.005",0
"1549044375000","2019-02-01 19:06:15","Matthias Musche","32.029","16.977","3.477","-127.199","1.742","35.169",0
"1549044375000","2019-02-01 19:06:15","Paul Drux","25.906","11.654","2.016","88.972","-0.082","71.734",0
"1549044375000","2019-02-01 19:06:15"," Ball 4","28.007","13.931","15.592","64.051","-11.112","175.348",2
"1549044375000","2019-02-01 19:06:15","Andy Schmid","32.351","5.466","1.139","119.149","-0.352","30.796",1
"1549044375000","2019-02-01 19:06:15","Hampus Wanne","35.415","3.082","0",NULL,"-0.674","13.199",1
"1549044375000","2019-02-01 19:06:15","Jeljko Musa","32.757","12.904","1.186","123.643","-0.355","23.143",1
"1549044375000","2019-02-01 19:06:15","Fabian van Olphen","31.923","10.165","1.052","103.747","-0.524","28.657",1
"1549044375000","2019-02-01 19:06:15","Holger Glandorf","34.02","15.753","0.303","126.915","-0.139","35.885",1
"1549044375000","2019-02-01 19:06:15","Robert Weber","33.321","17.636","1.516","166.935","0.034","24.732",1
"1549044375000","2019-02-01 19:06:15","Mikael  Appelgren ","39.524","10.284","0.327",NULL,"-0.337","8.924",1
"1549044375050","2019-02-01 19:06:15.05","Andy Schmid","32.328","5.521","1.122","119.149","-0.381","30.796",1
"1549044375050","2019-02-01 19:06:15.05","Jeljko Musa","32.73","12.952","1.158","126.693","-0.356","23.143",1
"1549044375050","2019-02-01 19:06:15.05","Mikael  Appelgren ","39.498","10.286","0.276",NULL,"-0.316","8.924",1
"1549044375050","2019-02-01 19:06:15.05","Holger Glandorf","34.017","15.768","0.303","129.293","-0.075","35.885",1
"1549044375050","2019-02-01 19:06:15.05","Hampus Wanne","35.378","3.091","0",NULL,"-0.674","13.199",1
"1549044375050","2019-02-01 19:06:15.05","Fabian van Olphen","31.903","10.209","1.02","104.264","-0.524","28.657",1
"1549044375050","2019-02-01 19:06:15.05","Robert Weber","33.218","17.659","1.516","166.009","-0.144","24.732",1
"1549044375050","2019-02-01 19:06:15.05"," Ball 4","28.337","14.628","15.301","63.752","-5.304","175.348",2
"1549044375050","2019-02-01 19:06:15.05","Paul Drux","25.906","11.76","2.016","88.151","-0.139","71.734",0
"1549044375050","2019-02-01 19:06:15.05","Matthias Musche","31.932","16.809","3.552","-125.725","1.671","35.169",0
"1549044375050","2019-02-01 19:06:15.05","Silvio Heinevetter","8.195","10.111","0.073",NULL,"-0.061","14.005",0
"1549044375050","2019-02-01 19:06:15.05","Fabian Böhm","30.295","19.712","0.403","-87.41","-0.483","72.365",0
"1549044375050","2019-02-01 19:06:15.05","Fabian Wiede","29.372","0.524","0.828","-114.635","-0.199","66.093",0
"1549044375050","2019-02-01 19:06:15.05","Patrick Wiencek","34.274","16.885","0.564","147.113","-0.218","44.314",0
"1549044375050","2019-02-01 19:06:15.05","Patrick Groetzki","40.643","-0.101","0.264",NULL,"-0.364","51.529",0
"1549044375050","2019-02-01 19:06:15.05","Christopher Rudeck","9.891","-0.073","0",NULL,"0","0",0
"1549044375100","2019-02-01 19:06:15.1","Silvio Heinevetter","8.195","10.11","0.072",NULL,"-0.046","14.005",0
"1549044375100","2019-02-01 19:06:15.1","Matthias Musche","31.835","16.64","3.632","-124.212","1.599","35.169",0
"1549044375100","2019-02-01 19:06:15.1","Paul Drux","25.906","11.867","2.016","87.329","-0.196","71.734",0
"1549044375100","2019-02-01 19:06:15.1","Andy Schmid","32.305","5.576","1.102","119.24","-0.411","30.796",1
"1549044375100","2019-02-01 19:06:15.1","Jeljko Musa","32.703","13.001","1.13","130.442","-0.357","23.143",1
"1549044375100","2019-02-01 19:06:15.1","Hampus Wanne","35.34","3.101","0",NULL,"-0.674","13.199",1
"1549044375100","2019-02-01 19:06:15.1","Holger Glandorf","34.014","15.783","0.303","131.621","-0.01","35.885",1
"1549044375100","2019-02-01 19:06:15.1","Mikael  Appelgren ","39.472","10.289","0.268",NULL,"-0.295","8.924",1
"1549044375100","2019-02-01 19:06:15.1","Fabian van Olphen","31.882","10.252","0.966","107.35","-0.524","28.657",1
"1549044375100","2019-02-01 19:06:15.1","Robert Weber","33.116","17.682","1.516","165.347","-0.322","24.732",1
"1549044375100","2019-02-01 19:06:15.1","Patrick Groetzki","40.64","-0.112","0.261",NULL,"-0.331","51.529",0
